,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
NCGC00178831-03,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00166114-03,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00263563-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00013058-02,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00167516-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00018301-05,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00249897-01,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00016000-18,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00181091-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00094089-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00094996-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00263579-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00095016-05,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00095192-05,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00091258-05,0,0,0,0,0,0,0,1,0,0,0,0
NCGC00263656-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00166121-03,0,0,0,0,0,0,0,1,0,0,0,0
NCGC00257773-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00091023-06,1,0,0,0,0,0,0,1,0,0,0,0
NCGC00091112-09,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00167436-02,1,0,0,0,0,0,0,1,0,0,0,0
NCGC00177980-03,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00179665-04,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00344566-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00015959-09,1,0,0,0,0,0,0,0,0,1,0,0
NCGC00017112-10,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00015747-09,1,0,0,0,0,0,0,0,0,1,0,0
NCGC00167493-04,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00273481-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00161831-04,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00015889-11,1,0,0,0,0,0,0,0,0,0,0,0
NCGC00159424-04,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00091563-12,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00015273-19,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00257649-01,1,0,0,0,0,0,0,0,0,0,0,0
NCGC00262909-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00096056-02,0,0,0,0,0,0,0,0,0,1,0,0
NCGC00262929-01,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00159441-03,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00142623-04,1,0,0,0,0,0,0,0,0,0,0,0
NCGC00344555-01,1,0,0,0,0,0,0,0,0,0,0,0
NCGC00016258-06,1,0,0,0,0,0,0,1,0,0,0,0
NCGC00159476-09,1,0,0,0,0,0,0,0,0,1,0,0
NCGC00160275-03,0,0,0,0,0,0,0,0,0,0,0,0
NCGC00166120-02,0,0,0,0,0,0,0,1,0,0,0,0
NCGC00016373-08,1,0,0,0,0,0,0,1,0,0,0,0
NCGC00016789-06,NA,0,0,0,0,0,0,1,0,0,0,0
NCGC00018250-06,1,0,0,0,0,0,0,0,0,1,0,0
NCGC00253588-01,NA,0,0,0,0,0,0,0,0,1,0,0
